name,institution,course_url,course_id,content
Machine Learning,Stanford University,https://www.coursera.org/learn/machine-learning,machine-learning,Machine Learning Stanford University
Technical Support Fundamentals,Google,https://www.coursera.org/learn/technical-support-fundamentals,technical-support-fundamentals,Technical Support Fundamentals Google
Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,https://www.coursera.org/learn/google-cbrs-cpi-training,google-cbrs-cpi-training,Become a CBRS Certified Professional Installer by Google Google - Spectrum Sharing
Financial Markets,Yale University,https://www.coursera.org/learn/financial-markets-global,financial-markets-global,Financial Markets Yale University
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,Programming for Everybody (Getting Started with Python) University of Michigan
The Bits and Bytes of Computer Networking,Google,https://www.coursera.org/learn/computer-networking,computer-networking,The Bits and Bytes of Computer Networking Google
AI For Everyone,DeepLearning.AI,https://www.coursera.org/learn/ai-for-everyone,ai-for-everyone,AI For Everyone DeepLearning.AI
Crash Course on Python,Google,https://www.coursera.org/learn/python-crash-course,python-crash-course,Crash Course on Python Google
Neural Networks and Deep Learning,DeepLearning.AI,https://www.coursera.org/learn/neural-networks-deep-learning,neural-networks-deep-learning,Neural Networks and Deep Learning DeepLearning.AI
What is Data Science?,IBM,https://www.coursera.org/learn/what-is-datascience,what-is-datascience,What is Data Science? IBM
Successful Negotiation: Essential Strategies and Skills,University of Michigan,https://www.coursera.org/learn/negotiation-skills,negotiation-skills,Successful Negotiation: Essential Strategies and Skills University of Michigan
Fundamentals of Project Planning and Management,University of Virginia,https://www.coursera.org/learn/uva-darden-project-management,uva-darden-project-management,Fundamentals of Project Planning and Management University of Virginia
Project Launch,"University of California, Irvine",https://www.coursera.org/learn/project-management,project-management,"Project Launch University of California, Irvine"
"Brand Management: Aligning Business, Brand and Behaviour",London Business School,https://www.coursera.org/learn/brand,brand,"Brand Management: Aligning Business, Brand and Behaviour London Business School"
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,https://www.coursera.org/learn/html-css-javascript-for-web-developers,html-css-javascript-for-web-developers,"HTML, CSS, and Javascript for Web Developers Johns Hopkins University"
Excel Skills for Business: Essentials,Macquarie University,https://www.coursera.org/learn/excel-essentials,excel-essentials,Excel Skills for Business: Essentials Macquarie University
Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Yale University,https://www.coursera.org/learn/negotiation,negotiation,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator Yale University
"Everyday Excel, Part 1",University of Colorado Boulder,https://www.coursera.org/learn/everyday-excel-part-1,everyday-excel-part-1,"Everyday Excel, Part 1 University of Colorado Boulder"
Learning How to Learn: Powerful mental tools to help you master tough subjects,University of California San Diego,https://www.coursera.org/learn/learning-how-to-learn,learning-how-to-learn,Learning How to Learn: Powerful mental tools to help you master tough subjects University of California San Diego
Google Cloud Platform Fundamentals: Core Infrastructure,Google Cloud,https://www.coursera.org/learn/gcp-fundamentals,gcp-fundamentals,Google Cloud Platform Fundamentals: Core Infrastructure Google Cloud
